t,¦Ì,A1 NumberofNeutrons,A2 NumberofNeutrons,B NumberofNeutrons,A1 SpecificHeat,A2 SpecificHeat,B SpecificHeat,B Density,X4 Density,B FirstIonization,X2 FirstIonization,X3 FirstIonization,B AtomicMass,B MeltingPoint
0.731099094,0.337957125,4,4,28,3.582,3.582,0.449,7.15,3.12,6.7665,10.4513,11.8138,51.996,2130.15
0.733650936,0.387843705,4,4,28,3.582,3.582,0.449,7.15,0.00321,6.7665,17.4228,12.9676,51.996,2130.15
0.731654365,0.348504551,4,4,28,3.582,3.582,0.449,7.15,4.93,6.7665,17.4228,10.4513,51.996,2130.15
0.73504953,0.416796267,4,4,28,3.582,3.582,0.449,7.15,0.0017,6.7665,12.9676,17.4228,51.996,2130.15
0.730568389,0.328029376,4,4,28,3.582,3.582,0.449,7.15,4.93,6.7665,12.9676,10.4513,51.996,2130.15
0.733902407,0.392961877,4,4,28,3.582,3.582,0.449,7.15,0.0017,6.7665,10.4513,17.4228,51.996,2130.15
0.731443152,0.344473008,4,4,28,3.582,3.582,0.449,7.15,0.00321,6.7665,10.4513,12.9676,51.996,2130.15
0.733002859,0.374825175,4,4,28,3.582,3.582,0.449,7.15,0.00321,6.7665,17.4228,12.9676,51.996,2130.15
0.732235946,0.359731544,4,4,28,3.582,3.582,0.449,7.15,3.12,6.7665,17.4228,11.8138,51.996,2130.15
0.734332283,0.4017991,4,4,28,3.582,3.582,0.449,7.15,0.0017,6.7665,12.9676,17.4228,51.996,2130.15
0.731099094,0.337957125,4,4,28,3.582,3.582,0.449,7.15,3.12,6.7665,12.9676,11.8138,51.996,2130.15
0.733902407,0.392961877,4,4,28,3.582,3.582,0.449,7.15,0.0017,6.7665,11.8138,17.4228,51.996,2130.15
